北中心测试环境有几套，都是什么环境？	八套环境
手机银行余额理财，点击返回时跳到基金页面，能直接返回到主页面吗？	ok
测试环境新终端如何实现应急模式指纹授权？	棒，首先你可以把你自己的置成最佳答案，这样你的问题就关闭并且再搜索时会置顶。另外，后续会增加附件上传，后面你的那些微课件也有用武之地啦。先多准备着。
某标签问题列表展现规律是怎么样的	我们是按照关注数进行排序的，后续我们会进一步优化页面，加入筛选机制，方便各种纬度的数据浏览，感谢您的反馈！
请问如何返回专业选择界面？	您好，目前专业页面是作为标签形式，在提问时选择的。后续，我们会有增加圈子，可以灵活选择，欢迎继续试用多提宝贵意见。
主机调账中能不能实现ATM差错登记簿记录状态的调整？	目前还没有该功能的话，后续可增加这个内容吗？
4563成品卡管理问题咨询：从A网点调到b网点应该怎么操作？	卡片所在领卡网点，使用4563成品卡登记簿维护交易中的领卡网点功能进行调整，领卡网点调整后，表外帐日终自动调整，无需网点手工记账。
4563成品卡管理问题咨询：领卡短信后面的网点地址不正确，应该怎么处理？	短信中提示的网点地址读取的网点办卡领卡网点参数表，柜面通过4578交易可以查询网点信息，如果发生网点地址变化，联系分行参数维护人员调整。
4563成品卡管理问题咨询：点击“销毁”按钮，对表外科目有什么影响？	用4563交易点击“销毁”，卡片就会变为“作废”状态且日终批量联动补记成品卡作废卡科目的表外账务。
app提问字数太少，难以描述问题，多图片如何传输？	多图片目前只能一张一张上传，后续会再优化，用着试试吧
请问网上办卡能否异地启用？	非首张办卡可以异地自助渠道启用，柜面暂时还不可以，因为异地无法查询申请登记表，需等11版本投产
请问手机附属卡怎么销？	手机支付卡，闪酷借记卡或其他无实物存在的虚拟卡：6532借记卡附属卡查询到卡号，用3983卡损销户处理，远程标注虚拟卡无实物。手机支付卡包括苹果支付卡，三星支付卡，华为支付卡，HCE云支付等。（手机支
客户领卡时发现卡面拼音错了，该如何处理？	先不发卡，对客户信息进行维护后重新发卡:使用4502修改打卡拼音名，然后1503补换卡，重新制出后的新卡才能发给客户。
代客商品批量交割清算异常，谁垫款	赞，可以把你的答案置成最佳答案，这样问题就关闭了而且搜索类似信息时你这条5就会置顶啦
客户信用卡在外国不能消费，查4745额度不足，卡额度由5万降为2.5万，何解？	查4745看客户有无线上受阻记录，如有客户打95588解除受阻记录，同时释放冻结额度。如果客户在境外网站多次做过消费但没成功，额度会被冻结。
网上办卡什么时候可以在智能机启用？九项信息是否会缺矢？(电子表）	九项信息是反洗钱方面的规定。
伪冒卡电子现金余额如何清零？	4819有权限吗，把电子现金转暂收，，后面再从内部户转给客户
4563成品卡问题咨询，卡片入库后，表外余额是否实时更新？	日终批量补记表外帐，次日可通过1395/1331交易查询表外账务补记情况。
信用卡异地取外币可以吗？	异地柜面可以取，ATM只能取人民币，因为ATN只加钞人民币
单位定期扣划操作指南	扣划分柜面与高法查冻扣平台，不知您需要那个？
柜员员号01是?	主机日终批量处理的业务，登记柜员号为1
同一客户两个客编如何挂网银	同一个地区同一个客户（客户信息三要素相同）只能有一个客编，将客户编号要整合为一个，才能挂上网银。
智能终端全自助菜单模板	您好，如果配置为全自助模版的话，该模版支持的业务都是无需审核的，转账汇款限额是5万。
工银信使添加手机号码，可以是别人的手机号吗？有资金风险吗？	您好，在新模式下，添加手机号必须通过预查询录入，如果没有需要新增的话，需要划卡验密并验证客户短信验证码，无法任意输入他人手机号，请了解，谢谢
待处理出纳长款内部户已销户，冲正应如何处理	我也想知道~😄
请问原卡折合一灵通卡在已脱卡且卡片又遗失的情况下，如何销卡，谢谢	3994选最后一个选项
建议增加默认关注标签的功能，根据员工所在部门在第一次登陆时默认关注部分标签	您好，我们考虑除了用户负责的业务，可能用户还会对其他领域的知识感兴趣进行关注，所以没有预设关注业务，也是希望您能更大限度的了解您感兴趣的问题，所以这里没有进行预设，感谢反馈！
求，4g外派终端保管使用相关规定	另外，省行科技如果针对外派终端做了交易控制，就需要调整网点号。
有客户问咱们借记卡卡片的下面的12/49是什么意思？是有效期吗2049年12月？	12/49，代表您这张卡片的有效期是2049年12月。
如何使用app客户端安全运测试平台？	安全云测试平台？在测试信息管理系统中点击移动云测试，点击测试工具集，选择app安全测试，提交未加固的apk文件进行安全测试。
企业办理电票网络融资入池质押业务，提示没有具备权限的账号，怎么解决	请在法客系统检查协议中关于电票质押融资的开关选项是否正确，如无误请将内管中客户类型选项改为全国。
建议：个人理财产品界面用明显方式显示剩余额度和是否可质押。	可以到质押贷款申请页面查看，所有能质押的理财产品，能质押的份额，均会展现。
有无交易可查一二类账户的绑定关系？	目前柜面无交易 只能通过手机银行或者网银查询
访问测试环境门户的时候响应时间非常长，不知道是否做了什么样的限制?	测试环境没有做限制，不过门户页面中一般包含多个域名的资源，且恢复生产数据之后如果业务同事没有重新发布页面，页面中会有生产的域名地址，用内网访问，配置hosts时需要把生产的域名加上，否则会请求不到对应
建议评论可以传图	古老师，大面积推广前，我们会把问题明细及周边的回答、评论功能做个整合，会统一考虑追问，回复富文本信息的需求。
首页分类	您好，首页的结构我们后续会进行优化，目前的逻辑是您关注的标签和用户产生的信息流，后续会认真考虑您的建议如何把这些内容分类的更明晰一些，感谢您的反馈！
关机重启自动登录问题	您好，app的会话保持机制是目前主流的app都有的，主要是为了方便使用，减少重复登录占用时间。
集中制卡邮确认能否直接导入邮局返传带邮寄单号文件直接合成确认文件	这个问题已经再和总行业务主管部室沟通，需要分行自己再开发小程序才能完成的任务已建议我行系统自行完成，减轻分行压力。
2016年总行组织了一个名词解释，请问最终这个名词解释发布了吗？在哪可以下载？	请协助提供总行哪个单位牵头组织的，以便与相应部门确认，谢谢！
能不能增加奖励机制，被采纳的多的，例如可以奖励积分，在融e购买东西什么的	还请各位分行大佬们大力支持，产品能用起来，我觉得可以争取。
下载的邮寄编号清单最好能区别信用卡和灵通卡，分开下载	分开与合并下载各有利弊:分开下载便于制卡系统信用卡后续邮寄确认上传，对邮寄网点时按网点合并下载精简邮包数量节约费用，后续会优化以便于集中制卡系统邮寄用户快捷完成操作。
我们行开放平台数据类型有哪些？分别用于应用？	您好，这个问题，请您直接联系我，谢谢
查询办卡进度邮寄上传流程能否简化，有些都是同一角色做感觉重复繁琐	这个流程是按照风险监控管理要求设计的，随着制卡中心后续的整合改革，后续系统功能会有优化。
标签页改为可选	感谢建议，后续会认真考虑您的意见，标签体系会进一步完善，感谢您的使用和反馈！
辽宁分行银企互联测试提示“商户证书校验存在问题”	您好，请检查提交报文时是否附加了证书信息，此报错原因为证书校验是空。
客户身份信息发生变更(姓名)，如何更新本行内新数据信息	如果是客户更名，可通过4214交易为客户变更
请信用卡未启用已冻结，原因是中介办卡，，如何向客户解释？可恢复启用吗？	非本人办卡，不符合规定。行为不诚信，不能解冻。
问题一旦提出就无法再次编辑修改了？	修改功能逐步完善中，谢谢您的建议
便捷开户问题请教	不同的类型，品牌的手机确实会有差异，因其插件或是配置不同，以及和我行应用软件兼容等问题，都可能会导致此现象的发生。这个业务刚刚上线且在试点运行中，建议向总行业务部门提出优化建议，彻底解决此问题。
3030交易要上传咩野资料	需要上传保证金主账户的开户申请书。
现在磁条借记卡更换为芯片卡，原账号能保留吗？	换卡的时候卡对应的基本户账号是不会变的 如果做换卡不换号的话 卡号也不会变 但是9字头的老灵通卡是不支持换卡不换号的 如果您问的是信用卡 那就得银行卡专业同事权威答复了😉
请问关注标签如何修改	目前标签修改权限仅限少部分数据中心人员，暂未向全体用户开发，后续将结合总、分行业务专家的加入，在一定范围内放开权限
搜索时报‘’请检查网络‘’	优化中，谢谢
一个人最多能够办理多少张工行的银行卡呀？	信用卡不超过30张，含附属卡（如异性芯片卡）及虚拟卡（手机支付卡，各种pay）.
1932查询芯片卡信息及明细	1932的第一个查询功能最多只能显示10条，不能翻页，第二个查询功能芯片已入账脱机交易明细支持翻页，可以查询10条以上记录
为什么公积金经常不能按时到账？	需要中心办公室与住房公积金联系具体原因。另外，随着i服务分行推广家数增加，分行反映问题较多，问题跟踪难度加大，建议类似内部问题不在i服务提出，谢谢！
融e购为什么没有自己的物流团队？	融e购商品交易量尚未达到建立专业化快递的边际成本，目前业界也仅有京东、阿里少数电商企业有自己的快递公司。
信用卡信使接收问题	您好，能否提供下卡号及办理的具体业务，谢谢
灵通卡无法销户问题	挂失换卡或者销卡用19位的新卡号，从凭证上看，不是升级成功了么
请问提问能否自行定义关键字？	您的需求我们会认真考虑后续如何优化，目前处于刚推广阶段，很多问题待完善，请多理解支持！
请问现在我行有哪几家分行正在使用自助发卡机	还未投产，拟定本周末随11月版本投产，先在几家分行试点，包括广东省和深圳市。
首页以后是否能加入条件检索？	谢谢高总的解惑。。
手银转账不成功信息代码:98000772，提示信息:工银e支付协议状态不正常；？	请进入工银e支付栏目检查此卡的e支付状态，如冻结请进行解冻、如未注册请注册等，谢谢。
社保卡发对帐簿什么画面	社保卡为分行特色业务，请联系本行科技部门确认。谢谢！
优化意见:回答页面请回显问题描述	您好，这个需求已做登记，后续会和测支三同事商量修改。感谢提出宝贵意见。
u盾或电子密码器到期是否可在自助机具上更换？	您好，到期后支持在智能终端上进行安全介质管理更换，谢谢
cs2002系统的新用户如何进行自主注册	使用本人统一认证号登陆cs2002系统，填写用户基本信息后，在系统路径“在线帮助一自主注册一权限申请”中申请专业和系统权限，再提交本人所属领导及系统管理员均审批通过后，即可使用。
职业年金中，受托人发过来的接口信息，托管人在系统中哪里可以查到？	在托管系统中接口管理-直连接收-数据展现菜单中，可以查询到已经接入的受托人的接口信息
cs2002系统中如何清理报表临时表	测试问题，关闭
职业年金基金的托管银行需要具备什么条件？	需要具备企业年金基金托管资格和证券投资基金托管资格。
安心账户托管子账户开立时提示“此协议编号不存在或已作废”，协议编号什么交易开立？	协议编号无主机交易开立。须在托管综合管理系统中进行协议审批，开立托管协议编号。柜面、批量代理开立托管子账户时会进行校验。
柜员轧账	1280进行汇总轧账时，会报什么提示信息？会提示 若当日发生无纸化业务，请通过7明细模式轧账，是否继续。
1280明细轧账如何展现？	轧账明细增加无纸化处理标志，若交易经过无纸化处理，则展现为是，非无纸化则展现为否。
若发生无纸化交易，在轧账后的打印凭证上如何显示？	增加展示无纸化处理交易笔数合计和金额合计，非无纸化交易笔数合计和金额合计。
1382网点轧账，点击打印，提示现金网点是否已打印现金日结单，怎么办？	点击是，继续交易，点击否，直接退出交易。
网点日终轧账，如何增加调用biom系统提供接口，检查机构要素是否轧账？	开关由参数表系统常数表控制，按地区设置，常数名forceflag，即时生效。常数值1为硬控制，其他为软控制。
2100一对一转账交易，贷方支持何种卡号？	支持13位短号的收款管家卡和19位正常卡号，均可入帐成功。
卡号不存在	测试环境主测和四套环境为数据抽取环境，信用卡的抽取规则为地区和账号末尾0，1，可通过查询三套环境该卡的账号，确定是否是没有抽取到。
实物现金营运管理系统历史遗留无效数据的清理	您好，<br />2012年的数据是核算要素系统2016迁移时从主机移行而来的存量数据，出现不同登记簿的数据不一致属于正常情况。<br />请网点核查实物凭证状态，由一级行用户登录实物现金系统使用“核
手工明细数据补录为什么不能补录呢？	测试问题，关闭
跨行个人贷款在超过人行发报时间情况下发放会造成挂账，如何处理？	您好，个人贷款跨行放款，先放到银行内部户，然后再用对公那边交易转到他行，是分开的两步，贷款发放没有时间限制
提问补充说明图片可否以图标显示，点击后读取，不直接显示图片内容	一是不好实现，二是一般编辑页面都希望看到完整信息。
取消问题发布按钮，点分类后直接提交	有些情况下，需要返回继续编辑问题描述。一般提交动作都是用户手工触发。
提交问题后发现表述不是很清晰需要修改，但系统没有提供发布者修改功能	暂时只支持删除问题功能。可以删除后再提交新问题。
个人客户账户只能转出不能转入问题咨询	您好，止收止付可能有多种原因，请使用7688交易查询是否被控制？谢谢
单位客户可以在同一网点开立多个定期账户吗？	可以
单位定期存款存入时不输入利息入账账号会怎么样？	支取时本金和利息一同入到支取交易录入的收款账户中。
账户管家存入单位定期存款时本金回款账户如何输入？	输入19位主账户，支取时收款账户可以输入同一主账户下的任意活期子账户。
如何主动修改通行证号密码？	登陆统一认证，个人设置—修改密码，输入原密码和新密码，验证通过后修改成功。
单位定期存款证实书挂失后多少天可以补开？	10个自然日。
单位定期存款存入时没有约转，后续还能调整吗？	可以，可以通过1473交易调整为约转。
行内员工如何查询自己的个人信息？	登陆人力资源管理系统，我的信息中展示了自己的基础信息，用户可自助查询。
协议存款支持哪些客户存入？	支持客户大类为2机关团体和5同业客户存入。
协议存款支持外币吗？	不支持。
协议存款可以部分提前支取吗？	不可以，只能全部提前支取。
使用3705交易对单位定期存款进行手工付息，系统会自动扣应付利息的账吗？	不会，3705对定期账户进行手工付息不会改变计提与计息。支取本金时会将整个存期的利息付给客户。
单位通知存款预约支取后取消通知，也会累计不计息积数吗？	好哒，已经设置为最佳答案了。
扣费成功，但交通罚款记录没销	该问题与我行自助终端缴费无关。建议网点帮助客户确认该笔缴费我行扣款成功的记录，然后由客户联系该缴费机所属单位查询滞纳金异常原因。
我的页面优化问题	收到，尽快分析解决。
问题是否需要有审核机制	嗯嗯。这个肯定要有的，迭代实现，谢谢
个人信用审批系统开户不成功	请先通过1564交易查询该联名单位的联名单位会员号获取方式是什么，是否为“联名单位提供”。<br />如果是的话，这是因为联名单位因为各种原因不给这个客户提供会员号，我们银行端就定义为开户失败。
标题可以换行	鍘夊浜嗗彜鑰佸笀锛岃繖閮借兘娴嬪嚭鏉ワ紝缁х画缁х画馃憤
标题输入的问题	收～
发布问题时建议增加图片编辑功能	程序上不好识别哪些是敏感信息。对文字的敏感词控制可以做到的。上传图片后，增加敏感信息过滤的提醒，让用户自己隐藏信息，应该是折衷下来比较好的选择。
关于针对答案评论的问题	谢谢反馈
问题账户跨行退汇	退汇业务暂不支持欠息户，分行可以选汇兑使用欠息户完成发报
优化建议:多次答复过程答案无法删除问题	谢谢反馈
建议增加转发功能	分享的功能在讨论中～
建议增加只看我关注的人提问的功能	如果单纯的此需求，可以在我的-我的关注_标签中，把标签取消关注即可
快捷支付之前在手机银行关了，现在要求开通，用什么交易代码	您好，目前快捷支付柜面交易关闭了，暂时不能使用。可让客户在网银或手机银行上开通。
理财产品购买第二个产品不需要U盾了	您好 个人网银进行了功能优化，投资理财类交易验签开关打开的情况下，一次登陆内仅首笔交易需要验签，后续交易无需再验签
扎账不平	请补充不平的具体信息，以便查找。
我们有十元的扎账不平挂账应如何查找？	您这个信息有点少噢，这样很难分析无从下手呀。有详细信息吗？例如是柜员不平还是网点不平，有没有相应的挂账信息摘要明细或者其他提示。
自助渠道分行特色业务功能异常问题	最精准的选择是渠道业务，选择其他标签会由相应版主进行修改正确。
7688交易是否可以代理	核实类交易都必须本人携有效身份证件处理
人民币日终批量轧账差额户不平挂账10元	这个需要看详细挂账清单，按具体问题来分析，请分行发我一分详细的挂账清单看下？邮箱：曹静/测试一部/北方中心/icbc
赎回基金时报2734错	可否提供下客户信息，谢谢
点提问发布弹出问题分类页时有不全，缓存有问题吗？	问题分类没有缓存的。
首页功能整合至发现中，首页可以做成其他功能吗？	正在开会酝酿讨论怎么设计。
单位定期存款证实书开具存单后质押，现需要解除质押，并提前支取，该如何操作？谢谢	如果分户变为已质押状态，只能通过GCMS信贷系统解质押后才能支取。
客户网上被盗资金如何赔偿	信用卡盗刷:<br />1境内人民币，先打95511平安保险，按照保险要求提供材料，然后拨打95588客服提交拒付申请。<br />2境外外币交易，拨打95588提交拒付申请，拒付不成功走平安保险流程
单位开立定期存单做质押，现在没有纸质存单，只有电子存单，是不是不用做代保管业务？	可以这样理解。
当日转入的大额存款不能当日转出是怎么回事	当日存入的可以取 但是当当日取款金额超过当日存款金额时 为了避免虚存实取 需要进行二次授权
已死亡客户户名有误，财产怎样继承	请见个金操作规程 第十章第三节相关内容
有关传盘发工资，提示无飞天u盾	请检查一下，是否新增id时选择了一代u盾？
指纹签到报错	1，请先更换人员使用指纹仪，排查是否是硬件设备问题<br />2，请同事自行登录人资资源系统，在个人设置中，使用指纹比对，排查本人指纹是否正确，多试几次看看指纹识别成功率是否高，若指纹质量不好需要去人
实物现金系统维护现金业务人员信息，点击新增，不展现内容，是何原因？	将站点从兼容性视图中删除后正常，是不是程序需要完善。<br />
北数ｉ服务app安装后，登录显示无法连接到服务器请联系管理员，怎么回事？谢谢	您好，这是因为您的统一认证号密码过期了，请修改密码后重新登陆即可。
客户取款记录，网点号801，柜员号是9999，服务界面是atn，客户表示从未取款	是ATM渠道吗？我行有交易记录证明该卡的确发生了交易，针对此问题，建议客户回忆是否卡片借给他人等情况存在，或者根据交易时间和ATM编号，调取监控录像。
网银内管系统银财通的公务卡管理，可不可以用卡号或户名搜索？现在好像只能逐页肉眼找	目前还没有好方法精确查找，该业务需求已经通过流程直通车向总行反映。目前可以根据大致添加日期来定位该公务卡所在位置。
信用卡柜面使用哪个交易关闭闪付功能？	打95588可以关闭
假名账户销户时客户存在贵金属账户，请问如何处理	请问可以联系哪位老师咨询？之前回复电话的老师没联系到
com1被占用？（ctp,nctb）	第1个问题，ctb和ctp如果都设置了com1打印机，请不要同时启动这两个程序，可能会冲突;添加了系统打印机，如果使用了com1也会冲突。com1带电拔插的话，可能会烧端口的。<br />第2个问题，
NCTB中电子验印启动报错	一上传图片，大段的描述被遮挡，大家能看到详细的描述么？<br />简单再重复一下吧:NTCB中启动电子验印报错，远程授权业务正常，说明高拍仪和EAP没有问题。<br />拔掉高拍仪启动电子验印不再报错
境外无卡支付开关问题	十月投产的手机银行账户锁功能里面有，我的安全中心里面～
单位定期存款质押后，证实书是否放柜员手里？	根据工银规章（2016）17号关于印发巜中国工商银行单位定期存单质押操作细则（2016年版）的通知，第十二条规定：网点柜员经审查认为属实的。。将存款证实书、申请专门保管。
求教:有没有人知道商务卡的产品编码?以前的编码46000272还能用吗?	46000272是国有企业公司卡商旅，现在营销产品档案正常，可以使用。生产上总行版的商务卡的档案号有100多个，这个卡中心有下发分行告知的，请支行同事联系分行卡部索取。
聚合支付什么时候能够支持支付宝？	谢谢
本App添加问题描述时，只能添一张图片，能不能优化下，可以添加多张。	您好:可以添加多张，只是要一张一张添加，不能一块添加，后续会逐步优化。同时，这类建议可以提到，北数i服务运营标签里，谢谢
融e行输入密码问题	收到，我们确认下～
客户称系统登记的是非本人手机号码，请问怎样可以该查询号码是通过什么渠道建立的?	您好，请使用 4204联系查询，有创建渠道字段，谢谢
关于私银黑金卡在我行间联商户刷卡不成功的问题	1，主机的“请使用芯片”的报错原因，不是插卡报错的错误原因，因为插卡报错交易还未上主机。您提供的报错肯定是之前某笔交易的报错，误以为是本笔交易。2，这个在另一个机器交易成功，那就不是工行主机程序的问题
3709交易进行银承汇票质押品委托收款成功，现申请撤销，3709无法反交易	您好，3709没有反交易。
在企业手机银行中进行了开户预约后，客户到柜台如何进行后续步骤。	客户在企网渠道完成预约开户后，再持企业信用代码证，法人证件，如果是代办人需带法人证件等开户必须证件到选定的网点办理开户。
增值税发票生成报错：命令中的参数有错，该如何处理？	该问题是核心板问题，联系科技重新插拔核心板处理。
增值税发票生成发票报错：已到开票截止日期，禁止开票。	出现该报错是因为财务未进行报税处理，报税完成后开票截止日期自动延长一个月，财务需每个月进行报税处理。
增值税发票生成报错：查询当前开票号出错，没有找到指定的数据。	该税控钥匙下无可用发票，可以在发票分配情况查询菜单下查询确认。
增值税发票生成报错：查询当前未开票号码失败，发票领购信息已用完。	柜员税控钥匙下的发票已使用完，需重新给柜员分发发票。
增值税发票打印报错：商品名称不合法。	这是销项明细没有收费项目，一般是贵金属发票应急全补录造成的。请删除应急明细后重新按贷方损益户做应急半补录处理。
增值税发票打印报错：数字证书口令验证失败。	税控钥匙取回后需要重置密码为八个0。
增值税发票生成报错：SOCKET通讯有误。	出现该问题请联系分行科技进行处理。
客户发生应税服务后，在发票系统无法查找到发票明细记录。	一是确认账号特征值是否已正常在4124中维护为关联账号；二是交易时是否正常补录了账户特征值。
增值税发票管理系统下找不到非主营发票打印菜单。	需要给柜员添加相应菜单权限。如使用网点工作台增加“发票打印-经办三”权限。如使用业务运营系统是增加“非主营业务发票答应岗”权限。
增值税发票红字信息编号申请下查不到普票信息。	普票打印红票无需进行红字信息编号申请，直接打印红票即可。
账户管家子账户如何修改印鉴标志	子账户印鉴方式的选择取决于主账户。该问题可从主账户入手去查。
4246交易可以在异地办理吗?	系统支持异地办理，具体看分行的具体业务规定。
工银大学学习时出现网页问题，求解决。	王总，直接交付版本啊。。。
待回答问题列表优化	好的～
苹果手机升级iOS11后不能安装工银e安全和工银e办公，咋处理	可以的呀 升级e办公先
如何能看到境外分行提到的问题？	赵姐，估计没把您加为版主，那就需要您自己关注境外标签。您提的默认关注建议很好，在版本最初是这样做的，后面感觉问题量太大就取消了。这事可以和忠德老师商量，如果您部门所有人都要关注境外标签，就辛苦他在后台
e缴费取得的奖励金，用于缴费时提示借方账户余额不足，无法使用。	经过测试，部分使用红包已经成功了
融易行输入密码提示超过最大错误次数	您好，请通过首页忘记密码功能重置后再登录，谢谢。
国债到期，客户要求办理异地托收，我行现没有储蓄托收凭证，现在还能用什么办法解决。	如果是储蓄电子式，到期可自动到账，无需托收，如果是凭证式相关手续应遵循运管托收业务管理要求，请咨询运管部门，谢谢
小企业或网络贷款发放后，前台用2586解保留系统提示补拍第二天还是需要勾账	流水号为零的问题已于11月版本优化，请今天再验证下。
7688交易查询后建议取消勾账	非常希望系统能够早日解决这个问题
借贷合一卡丢失且密码忘记，卡有欠款已冻结，如何销户	另外，也可以通过6875交易解除贷记卡和借记卡的绑定关系，解除后就变为普通的贷记卡和借记卡，即可进行柜面存款等交易了。
NOVA+1.9.11版本业务验证签到	测试三部签到
nctb指纹无法识别	请再验证，谢谢
nctb指纹仪无法使用	现已经正常
新终端参数不能下载出现错误	请帮忙再验证，谢谢
融e联-钱包-银行卡，绑定过银行卡不见了。	请确认是否在其他设备上登陆过融e联并绑卡，或在其他设备上登陆过手机银行。
手机银行，随心查周报和月报报错	应该是智服务，问题里误写成惠生活了
网点不能签到	请帮忙再验证，谢谢
融e联链接工银e生活标签展现问题	好的，谢谢！
做网点签到，画面出现先完成参数表下载	请使用1110交易进行参数下载，若1110交易时弹出提示“某某柜员正在进行参数下载”则请等待，同一地区下只要有一人完成参数下载，该地区其它柜员和网点即可正常签到。
融易购首次登录接收不到短信验证码	请重新试一下，目前可以收到短信
手机银行跨行汇款报错	请提供详细信息，比如报错截图等
网络办卡领卡前通过95588挂失换卡，前台4556领卡时，打印卡号没更新	您好，上述情况业务已经提需求优化了，12月版后会新旧卡号会都打印
手机银行～智服务～随心查周报报错	正在排查，稍后答复，谢谢
e缴费奖励的红包问题	您好，请问是手机银行内的e缴费还是融e联中的e缴费？
购物车不能正常展示	补充操作步骤-手机银行-融e购-我的商城-点登录，点返回，点购物车显示为3无反应
融e联中“集团网讯”公众号首页中的图片无法打开	该问题为网讯的代理问题导致，待网讯更改为新代理后即可解决
本app手势处理的问题	是安卓手机。因为前些天提交问题时，问题描述后完，添加了个图片，发布后图片把问题遮挡住了很多，只能通过添加答案的方式重新描述下。所以，今天提交问题时没加图片，图片都通过添加答案方式追加的，才发现此问题，
手机银行～惠生活～手机服务～碎屏保障退出时报错，需两次返回	您好，这个是三方商户功能，我们联系总行协调商户优化，谢谢
手机银行---e缴费---我的钱包---我的红包，红包不到期提示过期	您好，此问题已经联系开发同事分析，具体原因后续答复，谢谢
手机银行～理财～工银理财72天～查看后返回直接白屏，手机银行无法退出	请帮确认一下手机操作系统和手机银行的版本号？谢谢
工银e缴费红包有效期设置错误	如果是未生效活动，复核退回修改。已生效红包活动，可删除后重建，也可考虑走变更。
德州分行多网点反映pad授权网页无法打开请问什么原因？	收到，谢谢姜老师。
移动客户端验证情况反馈给测管部哪位？	发我...
融e联中截屏的问题	好吧，知道了。<br /><br />原因是，以前融e联中曾报过错误信息，反馈问题时是无法截屏的，所以印象较深。
柜台评价系统上传不成功，显示评价系统错误	已解决
工银e办公升级后无法打开“招聘报名”	收到，请稍等
人力资源系统不能打开	能否提供一个截图，我们这里访问正常
介质客户信息输错系统不再即时提醒，在提交时才提醒	系统在核对介质和输入的证件号码是否一致时均是提交业务申请后上主机时进行判断的，以便减少上主机的次数，减轻主机的压力。
人力资源系统薪酬管理，能看到工资已发放。个人网上银行查询明细看不到。	软妹子还要等个批量才能入帐，莫着急
智能终端信用卡―身份证识别或银行卡识别时提示以下错误	经确认这个分行智能终端查询是分行自己研发功能，我们已经联系山东分行科技排查原因，谢谢！
个人客户营销系统中到期提醒无提醒怎么处理	您好，请将有问题的统一认证号和您认为需提醒未提醒的产品到期信息发送白瑞邮箱吧，需要单独分析原因，谢谢
无法查询社保卡了	您好！请先确认分行环境是否正常。谢谢！
客户取款输入密码错误后，机器死机，退出系统，多次关机重启才正常。	您好，请问这是在ATM上操作的？
pad授权卡在这无法终止审核，此业务客户已退出重新申请，但现场管理人员的pad却一直收到此授权申请无法处理	您好，该问题胃网络原因导致审核信息未及时跳转更新，请退出pad登录，再重新登录刷新审核试下。
北数i服务的密码？	您好，下载密码：Dccbj123
前台业务报表系统显示无法连接到远程服务器  怎么回事	前台报表有两个入口：一是报表客户端，二是通过网页直接登录。根据升级计划，下午这个时间段在升级，请再确定下是否己正常。谢谢。
融e联发现页签H5模板点击提示获取数据失败，然后下端才出现创建按钮	您好，HA环境问题，现在H5入口已关闭。
工银e生活，精选，爱购周末，左下方时尚餐饮类5个字，排版错位。	活动是业务配置的门户页面，目前已没有看到问题描述的活动。如有问题可与我联系。
请教955886开头的是什么卡种	这种卡怎么销户
网银登录短信验证时出错	怀疑是网页控件有问题，请提供一下操作系统版本和ie的版本；另可以关闭所有网页重新打开，使用网银助手修复一下
北京分行投产验证e生活问题	1、e生活扫描支付选择付款码，无法生成二维码。2、商户之家中查询支付结果，交易明细展现有延时
查询信用卡推荐额度出现“访问分行应用失败”画面  从周天开始，怎么回事？	使用智能设备查询信用卡推荐额度出现“访问分行应用失败”画面 从周天开始，怎么回事？
电子银行承兑问题咨询客户背书转让提示错误代码41899是什么问题。	信息收到，已转后台分析，请您耐心等待答复，谢谢。
pc融e购，登录后，点我的金融，没能跳转到网银页面，投产前是可以正常跳转的	已通过邮件系统，发操作录像给您！谢谢
关于电子商业汇票的问题	无需重新签收，请核实票据状态是否已更新为“背书已签收”。如未更新，需重新上报开发中心做手工确认报文的查收。
vpn状态下如何升级防病毒的病毒码？	这个问题居然推送我手机了。。想顺便问一下，推送的规则是什么。我关注的？还是关注我的?又或者同单位同部门?
保管箱业务问题	已与分行确认问题已解决，谢谢!
如何查询欠息	如果账户和币种没有输错的话，本身查询方法是对的，怀疑是历史产生的异常数据。如确定该账户未发生贷款业务，可通过主机调账系统将欠息调整为0
卡内存定期5万不自动联网核查	请确认是否录入证件，只有录入证件才能联网核查，谢谢。
前台业务机办理业务时，双屏互交系统自动取消.重启CTB后正常	您好，目前双屏支持打印凭证后给客户手工签字或通过双屏签字，由操作柜员手工选择，请确认柜员是否误点击了凭证打印按钮，谢谢
网银下载历史明细	您好，目前单次下载最多150条，可通过调整查询时段分次下载。系统已支持单次不限条数全量下载，目前正在对内试点中，会逐步对外。
印密标志为印鉴的活期存折如何挂失销户？	收费方式不要用本账户扣费
新系统购物车功能报错	该问题为环境不稳定交易存疑。所以打印为失败。只能进行反交易。具体可联系测试四部张旸旸，谢谢
手机银行查询明细问题	您好，感谢您的反馈，我们尽快分析在最近版本安排优化。
手机银行投资理财问题	您好，这两个都是业务规则问题，后续我们会在业务体验环节进行优化，谢谢！
批量调整借记卡年费及工本费的问题咨询	代理业务渠道可以批量调整年费标志 不能调整工本费 如果涉及批量退费 可以通过代理业务渠道 通过注释标注
前台终端CTB不能正常打印	这种报错一般是外设的驱动程序存在异常 建议先联系终端维护人员检查下驱动
